id;date;description;amount;balance;account_id
1;2020-09-28;synthesize Bacon revolutionary;76332;31606;1
2;2020-09-29;Metal Computer payment;63238;77313;1
3;2020-09-29;bandwidth Avon CSS;19322;53343;1
4;2020-09-29;XSS;80178;11153;1
5;2020-09-28;Pizza Towels transitional;37977;41719;1
6;2020-09-28;Bedfordshire sticky Profound;28412;51899;1
7;2020-09-29;cultivate;65056;47848;1
8;2020-09-29;Centralized redundant;47707;61898;1
9;2020-09-28;Arkansas;82720;81873;1
10;2020-09-28;Louisiana;37111;35701;1
