id;date;description;amount;balance;account_id
1;2020-09-29;Montserrat firmware;74440;38670;1
2;2020-09-29;programming silver;53322;71056;1
3;2020-09-28;Technician Ergonomic Granite Shoes;98611;46607;1
4;2020-09-28;Ergonomic knowledge user Money Market Account;27081;55873;1
5;2020-09-29;Enhanced Investment Account Chips;36716;82327;1
6;2020-09-28;bypassing infrastructures Concrete;70538;63713;1
7;2020-09-28;Unbranded Health;37255;29994;1
8;2020-09-28;info-mediaries;72922;91552;1
9;2020-09-28;index Dynamic;80655;61891;1
10;2020-09-29;calculate Bedfordshire virtual;64659;29131;1
